Self,Height,Pole Height Segment,T,Pole Id,Pole Location Canidates,Pole Loc Key
143,61.52,62,Pole,143,"Instance of 'minified:b4'
Instance of 'minified:b4'",(dt_task_2_pole_ids_c_pole_location_canidates)
906,34.94,35,Pole,906,"Instance of 'minified:b4'
Instance of 'minified:b4'",(dt_task_2_pole_ids_c_pole_location_canidates)
637,21.75,22,Pole,637,"Instance of 'minified:b4'
Instance of 'minified:b4'",(dt_task_2_pole_ids_c_pole_location_canidates)
201,21.75,22,Pole,201,"Instance of 'minified:b4'
Instance of 'minified:b4'",(dt_task_2_pole_ids_c_pole_location_canidates)
767,39.37,39,Pole,767,"Instance of 'minified:b4'
Instance of 'minified:b4'",(dt_task_2_pole_ids_c_pole_location_canidates)
430,61.52,62,Pole,430,"Instance of 'minified:b4'
Instance of 'minified:b4'",(dt_task_2_pole_ids_c_pole_location_canidates)
250,39.37,39,Pole,250,"Instance of 'minified:b4'
Instance of 'minified:b4'",(dt_task_2_pole_ids_c_pole_location_canidates)
576,34.94,35,Pole,576,"Instance of 'minified:b4'
Instance of 'minified:b4'",(dt_task_2_pole_ids_c_pole_location_canidates)